,Random_ID,STUDENT_UNITS,FINAL_GRADE,GRADE_QUALITY_POINTS
253,KPWCU92O,2.0,W,0.0
254,KPWCU92O,3.0,A,4.0
255,WHA0TRED,3.0,A,4.0
256,WHA0TRED,3.0,A,4.0
257,3I004OBM,3.0,A,4.0
258,05LYM824,1.0,A,4.0
259,05LYM824,3.0,A,4.0
260,05LYM824,5.0,W,0.0
261,05LYM824,3.0,W,0.0
262,05LYM824,1.0,B,3.0
263,116S391M,3.0,A,4.0
264,73JXC415,4.0,B,3.0
265,73JXC415,3.0,B,3.0
266,7YXPCFLJ,1.0,A,4.0
267,LVKZDHNO,1.0,P,0.0
268,6JWE6XU4,1.0,IF,0.0
269,6JWE6XU4,3.0,F,0.0
270,6JWE6XU4,3.0,F,0.0
271,6JWE6XU4,3.0,F,0.0
272,X8T3SN9Z,3.0,A,4.0
273,X8T3SN9Z,3.0,A,4.0
274,X8T3SN9Z,1.0,A,4.0
275,L54ZITTC,3.0,IC,0.0
276,L54ZITTC,1.0,F,0.0
277,EB9N92ML,1.0,W,0.0
278,EB9N92ML,3.0,A,4.0
279,I61SRHBX,4.0,A,4.0
280,I61SRHBX,2.0,P#,0.0
281,I61SRHBX,3.0,C+,2.3
282,XSX1XMLE,3.0,A,4.0
283,QAFOKO5H,3.0,IA-,0.0
284,2RS2ZK3V,3.0,A,4.0
285,1OUXU6FE,1.0,A,4.0
286,HDPYS7XN,4.0,A,4.0
287,SBNVESN4,1.0,W,0.0
288,SBNVESN4,1.0,W,0.0
289,SBNVESN4,3.0,W,0.0
290,YVAU3L3F,2.0,A,4.0
291,WHIZCDEU,0.5,P,0.0
292,5TCF7F1T,1.0,P,0.0
293,SSNJ9NA3,1.5,A,4.0
294,38RF76M6,3.0,B,3.0
295,38RF76M6,3.0,A,4.0
296,38RF76M6,3.0,A,4.0
297,2BKIALT7,2.0,A,4.0
298,9ZIWQLIR,0.5,A,4.0
299,OEVVOH3T,1.0,P,0.0
300,OEVVOH3T,1.0,A,4.0
301,XQV20KLK,3.0,P,0.0
302,XQV20KLK,3.0,P,0.0
303,XQV20KLK,1.0,P,0.0
304,XQV20KLK,1.0,NP,0.0
305,BL60RH3T,1.0,W,0.0
306,F35E1QDX,3.0,W,0.0
307,BQDR1WBO,3.0,A,4.0
308,BQDR1WBO,3.0,W,0.0
309,UM76N6FL,3.0,A,4.0
310,9MHTATML,3.0,A,4.0
311,9MHTATML,3.0,B+,3.3
312,NEJM5CC3,3.0,F,0.0
313,NEJM5CC3,3.0,F,0.0
314,VVXOTV23,1.0,P,0.0
315,7M2DF61Z,1.0,P,0.0
316,F7U3CZXY,1.0,P,0.0
317,F7U3CZXY,5.0,P,0.0
318,BS6WJB9Z,3.0,P,0.0
319,06T49F1D,1.0,A,4.0
320,06T49F1D,1.0,A,4.0
321,C0D5C389,3.0,W,0.0
322,ZW1PQUPB,0.5,P,0.0
323,ZW1PQUPB,1.0,W,0.0
324,75ZFNP0W,3.0,W,0.0
325,8XA0O8MV,3.0,A,4.0
326,8XA0O8MV,1.0,A,4.0
327,8XA0O8MV,3.0,A,4.0
328,D9NY7L4H,3.0,A,4.0
329,D9NY7L4H,3.0,A,4.0
330,FFSY6XPF,1.0,P,0.0
331,DWD4Y7QT,1.0,P,0.0
332,KCZ3K0CL,1.0,P,0.0
333,7DAL9KAV,3.0,P,0.0
334,O0EP4E61,1.0,P,0.0
335,YICUAYJF,3.0,C,2.0
336,5ZHCOFAX,3.0,W,0.0
337,7QVEKE1M,3.0,W,0.0
338,EIXVBH02,1.0,P,0.0
339,F0QVX93F,0.5,B,3.0
340,63QCS8A4,4.0,W,0.0
341,CL6U2DLJ,3.0,C,2.0
342,CL6U2DLJ,3.0,B,3.0
343,CL6U2DLJ,1.0,F,0.0
344,WMOVT4Z6,1.0,P,0.0
345,F1BOLUV8,3.0,C,2.0
346,F1BOLUV8,3.0,F,0.0
347,F1BOLUV8,3.0,F,0.0
348,F1BOLUV8,3.0,B+,3.3
349,6G805UFB,2.0,IC+,0.0
350,6ZKJS739,1.0,P,0.0
351,7POH7K2V,1.0,W,0.0
352,7POH7K2V,3.0,W,0.0
353,X8EQYTK4,4.0,A,4.0
354,FF7DXTO6,3.0,P,0.0
355,JA00DME3,1.0,P,0.0
356,XYGDXZNA,1.0,P,0.0
357,5G6FHEM1,2.0,A,4.0
358,R0YEXJRR,3.0,B,3.0
359,R0YEXJRR,2.0,W,0.0
360,R0YEXJRR,3.0,A,4.0
361,R0YEXJRR,1.0,A,4.0
362,R0YEXJRR,2.0,A,4.0
363,R0YEXJRR,1.0,A,4.0
364,R0YEXJRR,1.0,A,4.0
365,R0YEXJRR,1.0,A-,3.7
366,R0YEXJRR,3.0,B+,3.3
367,R0YEXJRR,0.5,P#,0.0
368,K1WCK291,1.0,P,0.0
369,FSQN5N1J,3.0,A,4.0
370,3O4GTEJO,1.0,A,4.0
371,PHN2P3O6,1.0,NP,0.0
372,PHN2P3O6,1.0,NP,0.0
373,4FPZIH7B,3.0,B,3.0
374,PPR1V7PZ,3.0,A,4.0
375,PPR1V7PZ,3.0,A,4.0
376,PPR1V7PZ,3.0,A,4.0
377,PPR1V7PZ,3.0,NP,0.0
378,ME4Q6PSM,1.5,A,4.0
379,V512IJYO,3.0,A,4.0
380,2HVV6Y8F,3.0,B,3.0
381,2HVV6Y8F,3.0,B,3.0
382,ADYI64Q3,1.0,P,0.0
383,ADYI64Q3,1.0,P,0.0
384,ADYI64Q3,1.0,P,0.0
385,0C56MMON,3.0,A,4.0
386,0C56MMON,3.0,W,0.0
387,0C56MMON,3.0,W,0.0
388,LLL71V2J,3.0,A,4.0
389,LLL71V2J,3.0,A,4.0
390,LLL71V2J,3.0,A,4.0
391,KN82LALI,2.0,C+,2.3
392,ZHTPCRV7,1.0,C,2.0
393,ZHTPCRV7,5.0,A,4.0
394,WUSH2YHW,1.0,NP,0.0
395,DO8KUTZ3,3.0,A,4.0
396,DO8KUTZ3,3.0,A,4.0
397,E898RQ89,2.0,W,0.0
398,O5JV3RZ9,3.0,EW,0.0
399,O5JV3RZ9,3.0,EW,0.0
400,O5JV3RZ9,0.5,EW,0.0
401,R3L7G4M0,3.0,W,0.0
402,M6YQIOQ7,3.0,RD,0.0
403,84NUWV4X,3.0,W,0.0
404,O34G1JZ0,3.0,B+,3.3
405,O34G1JZ0,3.0,A,4.0
406,1P6DTMVQ,3.0,A,4.0
407,1P6DTMVQ,3.0,A,4.0
408,VVIVH7YZ,3.0,A,4.0
409,VVIVH7YZ,3.0,A,4.0
410,SY3SKS6M,3.0,A-,3.7
411,OPWV16SF,5.0,A,4.0
412,OPWV16SF,3.0,A-,3.7
413,OPWV16SF,3.0,A,4.0
414,OPWV16SF,1.0,A,4.0
415,PWXVG9ZO,1.0,P,0.0
416,46A5AJIH,3.0,A,4.0
417,46A5AJIH,3.0,A,4.0
418,46A5AJIH,3.0,A,4.0
419,46A5AJIH,3.0,A,4.0
420,KDEDIMB7,3.0,A,4.0
421,2ELAZ0M4,1.0,P,0.0
422,2ELAZ0M4,1.0,P,0.0
423,BFPUAQ5Z,3.0,A,4.0
424,NAZSOJY6,1.0,P,0.0
425,IVJBMS2Y,3.0,W,0.0
426,IVJBMS2Y,3.0,W,0.0
427,97UJWA1B,3.0,A,4.0
428,R2FJPBF0,0.5,W,0.0
429,R2FJPBF0,0.5,W,0.0
430,GY1AV3K9,3.0,B,3.0
431,GY1AV3K9,4.0,B,3.0
432,GY1AV3K9,3.0,F,0.0
433,46NJ5GIH,3.0,A,4.0
434,X854CHVD,3.0,W,0.0
435,3WVUPV2H,0.5,P,0.0
436,HXE08MKU,3.0,W,0.0
437,65L1DVXF,1.0,P,0.0
438,84KJTTDK,3.0,P,0.0
439,C65S5N64,3.0,P,0.0
440,C65S5N64,3.0,C,2.0
441,EA1AZTUI,2.0,A,4.0
442,BTTY8JOS,2.0,A,4.0
443,H4UY156B,3.0,A,4.0
444,H4UY156B,3.0,B,3.0
445,LNDZ3P0A,3.0,A,4.0
446,LNDZ3P0A,3.0,A,4.0
447,0AHXXHJ1,1.0,P,0.0
448,325HT4VT,3.0,A,4.0
449,325HT4VT,3.0,A-,3.7
450,325HT4VT,3.0,A,4.0
451,325HT4VT,3.0,A,4.0
452,325HT4VT,3.0,A,4.0
453,LX4LRC6N,1.0,W,0.0
454,LX4LRC6N,4.0,W,0.0
455,LX4LRC6N,1.0,W,0.0
456,LX4LRC6N,1.0,W,0.0
457,9LRONKVE,0.5,P,0.0
458,6657C6Q4,3.0,A,4.0
459,P4UQKUEM,3.0,W,0.0
460,LV3O2B1W,2.0,F,0.0
461,5ZL4LMTZ,0.5,P,0.0
462,MHFE8YUG,1.0,A-,3.7
463,MHFE8YUG,3.0,A-,3.7
464,EYNBYJ50,3.0,A,4.0
465,EYNBYJ50,3.0,A,4.0
466,EYNBYJ50,3.0,A,4.0
467,EYNBYJ50,3.0,A,4.0
468,UU2W4P6D,3.0,A,4.0
469,SA4VESZZ,3.0,A,4.0
470,52BFW85J,3.0,A,4.0
471,MEPT0FV4,3.0,W,0.0
472,MEPT0FV4,4.0,F,0.0
473,Q9FT45UE,1.0,A,4.0
474,PXP4EFI5,3.0,P,0.0
475,PXP4EFI5,3.0,P,0.0
476,PXP4EFI5,3.0,A-,3.7
477,PXP4EFI5,3.0,A,4.0
478,PXP4EFI5,3.0,P,0.0
479,0RTVDO0P,1.0,W,0.0
480,XCDLRM5E,3.0,A,4.0
481,XCDLRM5E,3.0,A,4.0
482,7KEN8PZB,3.0,A-,3.7
483,7KEN8PZB,3.0,B+,3.3
484,7KEN8PZB,3.0,A-,3.7
485,OEVSX673,5.0,A,4.0
486,A3ETF1JW,3.0,A-,3.7
487,A3ETF1JW,3.0,B,3.0
488,SF03ZRIM,3.0,A,4.0
489,SF03ZRIM,2.0,A,4.0
490,CG4DDQ6C,3.0,A,4.0
491,GV1ZZKQM,1.0,P,0.0
492,AR0KATG4,4.0,W,0.0
493,4DMZDOXX,3.0,W,0.0
494,4DMZDOXX,3.0,W,0.0
495,1FUCXDUQ,1.0,A,4.0
496,210KU9NI,1.0,P,0.0
497,ECRRWHZ9,1.0,A,4.0
498,ECRRWHZ9,1.0,A,4.0
499,SNI3GD3X,3.0,A,4.0
500,9OD86WBK,3.0,B+,3.3
501,9OD86WBK,1.0,A-,3.7
502,CXYWV614,1.0,P,0.0
503,CXYWV614,3.0,A,4.0
504,KW8KOJ14,3.0,W,0.0
505,KKQGMD1S,3.0,C,2.0
506,0ASSW0HZ,3.0,W,0.0
507,0ASSW0HZ,1.5,W,0.0
508,0ASSW0HZ,1.5,F,0.0
509,0ASSW0HZ,4.0,B,3.0
510,0ASSW0HZ,3.0,A,4.0
511,OGKIJ282,1.0,P,0.0
512,TI7GBR5H,1.0,P,0.0
513,G4RQM590,3.0,EW,0.0
514,G4RQM590,1.5,EW,0.0
515,G4RQM590,3.0,EW,0.0
516,G4RQM590,1.5,EW,0.0
517,G4RQM590,3.0,EW,0.0
518,3YQFUEF9,4.0,W,0.0
519,3YQFUEF9,4.0,W,0.0
520,M5CC9FF2,1.0,A,4.0
521,M5CC9FF2,3.0,A,4.0
522,9AFBAZCJ,3.0,A,4.0
523,DE9V6V7G,3.0,W,0.0
524,US508VF7,3.0,F,0.0
525,H2BRZ3E4,1.0,A,4.0
526,H2BRZ3E4,3.0,C,2.0
527,HJ4AZALH,3.0,A,4.0
528,NSOGZSDT,3.0,A,4.0
529,NSOGZSDT,3.0,A,4.0
530,NSOGZSDT,4.0,B+,3.3
531,NSOGZSDT,3.0,B+,3.3
532,AIBD0TWR,3.0,A,4.0
533,6G6D8AC4,4.0,B,3.0
534,VH8KA9I8,5.0,A,4.0
535,JGH6U6TP,4.5,A,4.0
536,JGH6U6TP,3.0,A,4.0
537,Q6T9LCF5,2.0,P,0.0
538,MGWOUYQE,3.0,B+,3.3
539,8IWHYFND,3.0,A,4.0
540,CWL0GBZ3,1.0,P,0.0
541,AB6HJYPU,1.0,A,4.0
542,WJ27YK8Q,3.0,F,0.0
543,TND9U4E4,1.0,P,0.0
544,1MNH0ILN,1.0,W,0.0
545,O2J0GR7D,1.0,P,0.0
546,LV37QJRA,3.0,F,0.0
547,LV37QJRA,3.0,F,0.0
548,LV37QJRA,3.0,F,0.0
549,LV37QJRA,3.0,C,2.0
550,L073XWGR,0.5,A,4.0
551,VRGIJOHX,4.5,A,4.0
552,VRGIJOHX,3.0,A,4.0
553,XVRSLLZO,1.0,P,0.0
554,ZV7QOTJ7,2.0,A,4.0
555,ZDOPJVCJ,4.0,W,0.0
556,ZDOPJVCJ,2.0,W,0.0
557,ZDOPJVCJ,3.0,A,4.0
558,N3TY1ZRM,5.0,W,0.0
559,O8E6Q50Y,0.5,W,0.0
560,JEMGA0TY,3.0,F,0.0
561,OZEYZ7B7,3.0,A,4.0
562,JIXSWKFL,3.0,F,0.0
563,1XPRVHML,3.0,A,4.0
564,N8N1JF2B,3.0,A,4.0
565,N8N1JF2B,3.0,W,0.0
566,N8N1JF2B,3.0,B,3.0
567,N8N1JF2B,1.0,NP,0.0
568,N8N1JF2B,1.0,W,0.0
569,N8N1JF2B,3.0,W,0.0
570,BD297RPS,1.0,A,4.0
571,RB2HACCD,2.0,D,1.0
572,HLNWGJCL,3.0,W,0.0
573,5UC56X42,3.0,A,4.0
574,3OQ9BOFK,3.0,B+,3.3
575,OGBL0B25,1.0,A,4.0
576,DZRX2TRJ,5.0,A,4.0
577,SKJXT2ES,1.0,B,3.0
578,SKJXT2ES,1.0,A,4.0
579,SKJXT2ES,1.0,A,4.0
580,SKJXT2ES,3.0,RD,0.0
581,SKJXT2ES,3.0,A,4.0
582,3M7TKMG8,1.0,W,0.0
583,HA0IKRSV,3.0,A,4.0
584,JGXFGHE0,1.0,P,0.0
585,3CXH0IYR,1.0,A,4.0
586,VDARCA4K,3.0,A-,3.7
587,INBG3AIW,3.0,B,3.0
588,PM9ARB4S,1.0,P,0.0
589,J8WM77OU,3.0,A,4.0
590,1C0LN20G,3.0,A,4.0
591,1C0LN20G,3.0,A,4.0
592,B4S5VVVQ,3.0,W,0.0
593,B4S5VVVQ,3.0,W,0.0
594,B4S5VVVQ,3.0,W,0.0
595,9ZAPGFY6,2.0,A,4.0
596,KLSLRLLM,3.0,A,4.0
597,KLSLRLLM,3.0,A,4.0
598,2HVD7OU0,1.0,P,0.0
599,BFPFXI43,3.0,B,3.0
600,BFPFXI43,3.0,W,0.0
601,BFPFXI43,1.0,A,4.0
602,F246N5E6,1.0,P,0.0
603,U9RY72DY,1.0,P,0.0
604,U9RY72DY,1.0,P,0.0
605,NYYBAHTJ,3.0,W,0.0
606,NYYBAHTJ,1.0,W,0.0
607,NYYBAHTJ,3.0,W,0.0
608,NYYBAHTJ,1.0,W,0.0
609,NYYBAHTJ,1.0,W,0.0
610,P5D1CM2J,3.0,F,0.0
611,P5D1CM2J,3.0,F,0.0
612,M3PNTN58,3.0,A,4.0
613,XMIF3MO2,1.0,A,4.0
614,XMIF3MO2,2.0,A,4.0
615,NRT047RE,3.0,W,0.0
616,NRT047RE,3.0,W,0.0
617,85VRBAHO,1.0,P,0.0
618,RD79X3BH,3.0,A,4.0
619,0HQYKZC9,3.0,A,4.0
620,0HQYKZC9,3.0,A,4.0
621,VPV5QAS8,1.0,P,0.0
622,MUCXOMPH,3.0,A,4.0
623,TC7Q7Z5T,3.0,A,4.0
624,TC7Q7Z5T,3.0,A,4.0
625,BK7WGI9B,1.0,P,0.0
626,LMHPY6WR,3.0,NP,0.0
627,LMHPY6WR,1.0,A,4.0
628,1IP2YR8O,3.0,F,0.0
629,1IP2YR8O,3.0,W,0.0
630,ZW5YZ69E,1.0,A,4.0
631,6ZVAKTGU,3.0,A,4.0
632,6ZVAKTGU,3.0,A,4.0
633,DPYHR7BR,3.0,B,3.0
634,5T8I4NHK,3.0,A,4.0
635,1C2B452Q,3.0,A-,3.7
636,7I0947ZA,3.0,A,4.0
637,OI3JX97C,4.0,A-,3.7
638,M8HFRNL9,1.0,A,4.0
639,GEZRW541,3.0,A,4.0
640,F2IGEXMN,1.0,A,4.0
641,IGSSQ4Y9,3.0,B,3.0
642,IGSSQ4Y9,3.0,A,4.0
643,IGSSQ4Y9,3.0,B+,3.3
644,RH109681,1.0,C,2.0
645,RH109681,1.5,F,0.0
646,NYIQ7DGR,1.0,A,4.0
647,NYIQ7DGR,1.0,W,0.0
648,NYIQ7DGR,1.0,P,0.0
649,NYIQ7DGR,3.0,W,0.0
650,NYIQ7DGR,3.0,A,4.0
651,25ZE9JI3,1.0,P,0.0
652,Z1WLOPLK,3.0,A,4.0
653,FTUTUIPV,1.0,A,4.0
654,5LRGKRVS,3.0,A-,3.7
655,5LRGKRVS,3.0,A,4.0
656,5LRGKRVS,3.0,A,4.0
657,J4YNW635,2.0,W,0.0
658,J4YNW635,1.0,W,0.0
659,5TNQ02WN,4.0,B,3.0
660,GSTG4QB5,3.0,P,0.0
661,7BZR8S72,3.0,B+,3.3
662,GT3TOO01,2.0,W,0.0
663,YX10AJHS,3.0,A-,3.7
664,2IX60N5B,3.0,A,4.0
665,2IX60N5B,1.0,P,0.0
